SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,6.144,12,5,AODV,7.5
12,26.112,51,5,AODV,7.5
13,25.6,50,5,AODV,7.5
14,19.968,39,5,AODV,7.5
15,27.136,53,5,AODV,7.5
16,18.944,37,5,AODV,7.5
17,14.336,28,5,AODV,7.5
18,16.384,32,5,AODV,7.5
19,29.184,57,5,AODV,7.5
20,27.648,54,5,AODV,7.5
21,25.6,50,5,AODV,7.5
22,25.6,50,5,AODV,7.5
23,25.6,50,5,AODV,7.5
24,25.6,50,5,AODV,7.5
25,22.528,44,5,AODV,7.5
26,21.504,42,5,AODV,7.5
27,27.648,54,5,AODV,7.5
28,27.648,54,5,AODV,7.5
29,26.624,52,5,AODV,7.5
