SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,6.144,12,5,AODV,7.5
12,26.112,51,5,AODV,7.5
13,25.6,50,5,AODV,7.5
14,20.48,40,5,AODV,7.5
15,26.112,51,5,AODV,7.5
16,25.6,50,5,AODV,7.5
17,20.992,41,5,AODV,7.5
18,29.184,57,5,AODV,7.5
19,25.6,50,5,AODV,7.5
20,25.6,50,5,AODV,7.5
21,25.6,50,5,AODV,7.5
22,25.6,50,5,AODV,7.5
23,25.6,50,5,AODV,7.5
24,25.6,50,5,AODV,7.5
25,25.6,50,5,AODV,7.5
26,20.48,40,5,AODV,7.5
27,18.944,37,5,AODV,7.5
28,28.16,55,5,AODV,7.5
29,27.648,54,5,AODV,7.5
