SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,9.728,19,5,AODV,7.5
12,16.896,33,5,AODV,7.5
13,6.656,13,5,AODV,7.5
14,20.48,40,5,AODV,7.5
15,18.432,36,5,AODV,7.5
16,16.896,33,5,AODV,7.5
17,20.48,40,5,AODV,7.5
18,19.456,38,5,AODV,7.5
19,15.36,30,5,AODV,7.5
20,15.872,31,5,AODV,7.5
21,15.36,30,5,AODV,7.5
22,15.36,30,5,AODV,7.5
23,13.824,27,5,AODV,7.5
24,10.24,20,5,AODV,7.5
25,16.896,33,5,AODV,7.5
26,13.312,26,5,AODV,7.5
27,20.992,41,5,AODV,7.5
28,15.36,30,5,AODV,7.5
29,15.36,30,5,AODV,7.5
