SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,8.704,17,5,AODV,7.5
12,20.48,40,5,AODV,7.5
13,20.48,40,5,AODV,7.5
14,25.088,49,5,AODV,7.5
15,14.336,28,5,AODV,7.5
16,18.432,36,5,AODV,7.5
17,25.088,49,5,AODV,7.5
18,30.208,59,5,AODV,7.5
19,25.088,49,5,AODV,7.5
20,26.112,51,5,AODV,7.5
21,25.6,50,5,AODV,7.5
22,25.088,49,5,AODV,7.5
23,26.112,51,5,AODV,7.5
24,21.504,42,5,AODV,7.5
25,19.968,39,5,AODV,7.5
26,16.384,32,5,AODV,7.5
27,29.696,58,5,AODV,7.5
28,28.672,56,5,AODV,7.5
29,25.088,49,5,AODV,7.5
