SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,11.264,22,5,AODV,7.5
12,12.288,24,5,AODV,7.5
13,13.312,26,5,AODV,7.5
14,23.04,45,5,AODV,7.5
15,20.48,40,5,AODV,7.5
16,22.016,43,5,AODV,7.5
17,20.48,40,5,AODV,7.5
18,20.48,40,5,AODV,7.5
19,20.48,40,5,AODV,7.5
20,20.48,40,5,AODV,7.5
21,20.48,40,5,AODV,7.5
22,15.36,30,5,AODV,7.5
23,10.24,20,5,AODV,7.5
24,6.656,13,5,AODV,7.5
25,15.36,30,5,AODV,7.5
26,23.552,46,5,AODV,7.5
27,24.064,47,5,AODV,7.5
28,22.016,43,5,AODV,7.5
29,19.968,39,5,AODV,7.5
