SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,9.728,19,5,AODV,7.5
12,16.896,33,5,AODV,7.5
13,4.608,9,5,AODV,7.5
14,17.408,34,5,AODV,7.5
15,21.504,42,5,AODV,7.5
16,32.768,64,5,AODV,7.5
17,25.6,50,5,AODV,7.5
18,24.576,48,5,AODV,7.5
19,19.968,39,5,AODV,7.5
20,27.136,53,5,AODV,7.5
21,27.136,53,5,AODV,7.5
22,25.6,50,5,AODV,7.5
23,25.6,50,5,AODV,7.5
24,25.6,50,5,AODV,7.5
25,25.6,50,5,AODV,7.5
26,25.6,50,5,AODV,7.5
27,25.6,50,5,AODV,7.5
28,25.6,50,5,AODV,7.5
29,25.6,50,5,AODV,7.5
