SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,DSDV,7.5
1,0,0,5,DSDV,7.5
2,0,0,5,DSDV,7.5
3,0,0,5,DSDV,7.5
4,0,0,5,DSDV,7.5
5,0,0,5,DSDV,7.5
6,0,0,5,DSDV,7.5
7,0,0,5,DSDV,7.5
8,0,0,5,DSDV,7.5
9,0,0,5,DSDV,7.5
10,0,0,5,DSDV,7.5
11,13.312,26,5,DSDV,7.5
12,23.552,46,5,DSDV,7.5
13,23.552,46,5,DSDV,7.5
14,25.088,49,5,DSDV,7.5
15,24.064,47,5,DSDV,7.5
16,19.968,39,5,DSDV,7.5
17,25.6,50,5,DSDV,7.5
18,20.992,41,5,DSDV,7.5
19,25.088,49,5,DSDV,7.5
20,23.552,46,5,DSDV,7.5
21,22.528,44,5,DSDV,7.5
22,23.552,46,5,DSDV,7.5
23,24.064,47,5,DSDV,7.5
24,25.6,50,5,DSDV,7.5
25,25.088,49,5,DSDV,7.5
26,25.6,50,5,DSDV,7.5
27,25.6,50,5,DSDV,7.5
28,23.552,46,5,DSDV,7.5
29,25.088,49,5,DSDV,7.5
