SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,15.36,30,5,AODV,7.5
12,25.6,50,5,AODV,7.5
13,23.552,46,5,AODV,7.5
14,25.6,50,5,AODV,7.5
15,25.088,49,5,AODV,7.5
16,26.112,51,5,AODV,7.5
17,25.088,49,5,AODV,7.5
18,25.6,50,5,AODV,7.5
19,26.112,51,5,AODV,7.5
20,24.064,47,5,AODV,7.5
21,26.112,51,5,AODV,7.5
22,25.6,50,5,AODV,7.5
23,25.6,50,5,AODV,7.5
24,25.6,50,5,AODV,7.5
25,25.6,50,5,AODV,7.5
26,22.016,43,5,AODV,7.5
27,19.968,39,5,AODV,7.5
28,17.408,34,5,AODV,7.5
29,19.968,39,5,AODV,7.5
