SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,11.776,23,5,AODV,7.5
12,10.24,20,5,AODV,7.5
13,9.216,18,5,AODV,7.5
14,11.776,23,5,AODV,7.5
15,10.24,20,5,AODV,7.5
16,21.504,42,5,AODV,7.5
17,19.456,38,5,AODV,7.5
18,20.48,40,5,AODV,7.5
19,20.48,40,5,AODV,7.5
20,20.48,40,5,AODV,7.5
21,20.48,40,5,AODV,7.5
22,20.48,40,5,AODV,7.5
23,19.968,39,5,AODV,7.5
24,12.288,24,5,AODV,7.5
25,16.384,32,5,AODV,7.5
26,17.408,34,5,AODV,7.5
27,23.552,46,5,AODV,7.5
28,20.48,40,5,AODV,7.5
29,17.92,35,5,AODV,7.5
