SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,9.728,19,5,AODV,7.5
12,15.872,31,5,AODV,7.5
13,10.24,20,5,AODV,7.5
14,18.432,36,5,AODV,7.5
15,27.136,53,5,AODV,7.5
16,22.528,44,5,AODV,7.5
17,20.48,40,5,AODV,7.5
18,20.48,40,5,AODV,7.5
19,20.48,40,5,AODV,7.5
20,20.48,40,5,AODV,7.5
21,20.48,40,5,AODV,7.5
22,18.432,36,5,AODV,7.5
23,21.504,42,5,AODV,7.5
24,6.656,13,5,AODV,7.5
25,11.776,23,5,AODV,7.5
26,26.624,52,5,AODV,7.5
27,22.016,43,5,AODV,7.5
28,20.48,40,5,AODV,7.5
29,20.48,40,5,AODV,7.5
