SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,8.704,17,5,AODV,7.5
12,12.288,24,5,AODV,7.5
13,6.144,12,5,AODV,7.5
14,13.824,27,5,AODV,7.5
15,19.456,38,5,AODV,7.5
16,16.896,33,5,AODV,7.5
17,15.36,30,5,AODV,7.5
18,15.36,30,5,AODV,7.5
19,15.36,30,5,AODV,7.5
20,15.36,30,5,AODV,7.5
21,14.848,29,5,AODV,7.5
22,13.824,27,5,AODV,7.5
23,11.264,22,5,AODV,7.5
24,13.824,27,5,AODV,7.5
25,17.92,35,5,AODV,7.5
26,15.36,30,5,AODV,7.5
27,15.36,30,5,AODV,7.5
28,15.36,30,5,AODV,7.5
29,15.36,30,5,AODV,7.5
